	NK_D_L	NK_D_H	NK_E_L	NK_E_H	NK_F_L	NK_F_H	NK_K_L	NK_K_H	NK_L_L	NK_L_H	NK_M_L	NK_M_H	NK_N_L	NK_N_H
ENSG00000063854	2411	2205	2557	2589	2566	2766	5542	6745	4852	7396	5387	5675	7055	5171
ENSG00000063978	9523	10595	11508	10184	8077	9488	14392	11523	8374	5125	5436	9129	14014	10222
ENSG00000064012	26399	28804	26650	26547	35171	32524	29218	27535	14837	12747	13180	20555	33712	26651
ENSG00000064042	0	0	76	0	0	0	0	0	0	0	0	0	0	0
ENSG00000064102	2309	1953	1557	1742	1805	1778	2616	1903	1543	533	833	1378	1637	1448
ENSG00000064115	3284	3135	3694	2798	3241	3033	8965	8490	6831	6123	5719	6630	12040	8234
ENSG00000064195	0	1	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000064199	41	35	62	22	44	45	48	45	48	134	94	30	103	60
ENSG00000064201	8357	5901	15429	8412	10533	7607	11644	10855	16037	19408	15392	15758	23881	18606
ENSG00000064205	0	0	3	2	0	0	0	0	0	2	0	0	1	7
ENSG00000064218	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000064225	42	0	27	0	6	7	3	0	0	0	20	0	5	0
ENSG00000064270	9	2	7	31	20	9	8	4	10	5	4	18	14	5
ENSG00000064300	22	33	17	9	14	10	87	41	10	48	11	62	52	67
ENSG00000064309	0	0	1	0	0	0	15	8	0	4	0	0	3	0
ENSG00000064313	4147	4214	5074	4715	4631	5008	6953	4883	3615	3969	4711	4096	7064	5276
ENSG00000064393	6762	7346	6348	6572	6497	7144	13101	11410	8324	11831	10593	12216	18139	12704
ENSG00000064419	6492	6325	7446	5935	5600	5082	12253	9834	6735	4888	4892	6745	12817	9238
ENSG00000064489	5	14	10	7	7	6	0	0	0	0	2	0	2	0
ENSG00000064490	1814	1362	2330	1379	1561	1520	2728	2533	2726	2628	2906	2762	3542	2375
ENSG00000064545	1614	1356	2498	1173	1487	1162	2295	2422	2502	3397	2250	2863	3539	3155
ENSG00000064547	2578	2335	1676	1093	2833	1872	3420	3093	1601	1909	2503	2982	3067	2581
ENSG00000064601	7161	5979	8868	6624	7970	6155	8427	8683	10236	10202	9911	10137	13012	10214
ENSG00000064607	9869	8593	11944	9579	9266	8681	12366	7399	7755	6072	5770	6737	12550	9746
ENSG00000064651	2054	1668	1800	2453	1659	1455	2760	1671	1278	903	1074	1341	1995	1369
ENSG00000064652	255	265	243	222	279	192	553	337	163	245	495	291	541	334
ENSG00000064655	0	2	0	0	0	0	0	0	0	0	0	0	0	1
ENSG00000064666	21555	16233	15754	9489	12036	10079	16420	14674	19364	14228	9689	14228	21902	17578
ENSG00000064687	5738	4440	5448	2508	6151	3964	6298	2969	3588	1943	1987	3508	5545	4430
ENSG00000064692	0	0	0	0	0	0	0	0	0	2	0	0	0	0
ENSG00000064703	5290	7044	5535	5874	3879	3911	8150	7377	3635	2038	2029	4813	6484	5436
ENSG00000064726	8731	9149	8623	9552	7908	7922	12581	7376	4395	2499	2838	5514	10690	7059
ENSG00000064763	148	80	187	246	133	155	252	61	60	17	90	151	404	211
ENSG00000064787	168	112	201	91	136	116	142	116	112	137	33	81	461	260
ENSG00000064835	0	0	0	0	0	0	0	6	0	0	9	0	0	0
ENSG00000064886	609	608	3357	3175	528	578	2676	2600	7224	7796	1104	1443	15788	10610
ENSG00000064932	388	243	499	244	364	228	395	282	210	253	503	488	452	411
ENSG00000064933	1860	1603	1715	1753	1551	1636	2729	2488	2066	1915	1252	1490	3068	2522
ENSG00000064961	2548	2249	3770	2475	2510	2357	4444	4205	4398	4972	4266	4511	6793	5438
ENSG00000064989	68	3	46	4	31	40	55	25	42	35	23	4	60	39
ENSG00000064995	5108	4848	4289	4377	3992	4131	5960	5995	4783	6758	6737	6985	6596	5845
ENSG00000064999	869	660	954	642	920	774	1684	855	722	428	1060	958	1304	945
ENSG00000065000	5237	3726	5001	3138	5115	4243	8910	7206	5972	7507	6799	7585	9634	7695
ENSG00000065029	4526	5199	5779	4857	4323	4445	8938	7786	6750	5390	4054	6958	10113	9253
ENSG00000065054	108	109	114	35	157	157	706	678	72	93	94	89	305	223
ENSG00000065057	480	463	709	459	409	373	1185	1062	668	1225	1275	1065	1608	1170
ENSG00000065060	1533	1789	1665	1700	1186	1403	2529	1662	1318	1299	1421	1895	2044	1810
ENSG00000065135	9924	11748	8061	10551	7504	8216	17826	13876	9206	5664	5633	8929	16259	10487
ENSG00000065150	3908	4850	4350	3411	3588	2578	5190	3421	2227	1244	1865	2269	4640	2984
ENSG00000065154	5500	7432	5109	6857	4379	5229	10625	10727	6541	4979	4167	7400	11793	7535
ENSG00000065183	744	1017	1004	933	938	855	1760	918	512	114	305	588	1060	895
ENSG00000065243	3535	2436	2573	3028	3149	2879	4476	2493	2027	1677	2083	2673	3868	2648
ENSG00000065268	1387	949	2672	1600	1534	1181	3058	2636	3119	2848	2567	2245	3495	3011
ENSG00000065308	2230	2619	2062	2026	1619	2297	4440	3103	2382	1955	1775	3072	3350	2997
ENSG00000065320	11	18	20	16	7	19	31	15	20	27	19	17	22	39
ENSG00000065325	1	3	0	1	0	0	0	6	2	5	0	0	4	2
ENSG00000065328	143	27	283	85	216	43	359	27	117	87	345	28	352	81
ENSG00000065357	4363	4374	6455	4552	5512	4134	8048	5810	3770	2823	3574	4684	7725	5673
ENSG00000065361	12	37	22	15	48	18	53	16	112	15	2	39	39	69
ENSG00000065371	1	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000065413	15379	13154	14881	16915	16460	17668	29187	21736	17593	15866	17885	20707	32740	24259
ENSG00000065427	15174	14121	13919	11124	13290	11736	20556	18954	15703	10739	9133	14099	24085	17429
ENSG00000065457	2000	1299	2163	1769	1663	1637	2819	1735	1633	1089	1199	1268	2797	1953
ENSG00000065485	166	18	153	30	98	78	204	97	120	48	57	74	158	116
ENSG00000065491	1029	992	1146	938	854	920	2004	1137	621	622	375	787	1395	1280
ENSG00000065518	3726	2782	2790	2978	3292	3264	5956	6824	7375	10539	10061	7745	9028	6086
ENSG00000065526	6915	5023	5981	5489	5042	5057	10272	8053	5998	4269	5339	5423	9548	7081
ENSG00000065534	1	2	23	7	50	0	80	14	39	38	12	11	72	12
ENSG00000065548	12552	12547	9319	10071	10065	9977	15755	14406	11117	11514	13501	13925	15689	10893
ENSG00000065559	2655	2214	2694	2989	2180	2679	3927	2967	2158	1655	1821	2459	3558	3161
ENSG00000065600	874	773	932	1027	861	998	1725	1602	1113	1314	772	1533	2451	1911
ENSG00000065609	0	0	0	22	0	0	0	0	0	0	0	6	0	0
ENSG00000065613	4511	3341	3595	4285	2424	2415	8924	5141	3238	2299	2133	3128	6565	4405
ENSG00000065615	3329	2939	2782	3612	3692	3101	8019	6125	3352	2438	2735	4021	7728	4612
ENSG00000065618	0	6	0	0	0	0	9	0	0	0	0	0	0	0
ENSG00000065621	226	508	333	409	278	373	340	294	202	423	260	444	572	440
ENSG00000065665	1106	929	701	894	1016	806	1645	1591	791	779	747	1058	1494	1079
ENSG00000065675	8197	10367	5409	6952	6627	7484	15772	12278	8271	5876	4916	8417	16796	11802
ENSG00000065717	417	606	321	345	206	167	735	643	388	586	433	815	502	486
ENSG00000065802	2579	2449	2592	1885	2241	2280	3740	4175	4889	6776	4353	4672	5927	4618
ENSG00000065809	17425	17151	22583	23782	15200	16812	33327	23844	20447	11110	11354	17447	33142	22668
ENSG00000065833	0	7	0	3	0	15	0	18	8	4	22	38	24	2
ENSG00000065882	3106	2753	3737	3268	2472	2487	4144	3164	2624	1555	1301	2683	5643	3648
ENSG00000065883	8468	7142	8815	8626	8463	7082	11873	9556	7459	6777	6661	7867	11670	9254
ENSG00000065911	2943	3203	1955	2867	2454	2394	2344	2262	1905	1922	1713	2158	2716	2261
ENSG00000065923	451	171	279	135	460	318	427	227	227	193	209	128	632	148
ENSG00000065970	3183	3337	3464	4108	2911	2963	5861	3140	2259	1405	1600	2230	4146	3217
ENSG00000065978	4174	3024	3552	2322	3213	2762	4888	4494	5160	5217	6560	5060	6750	4534
ENSG00000065989	4139	4026	7390	4162	4808	3755	7581	5526	4757	3871	2937	4467	5685	4540
ENSG00000066027	10385	10381	8130	11078	9005	8827	14067	11101	6788	5472	5441	8577	14407	9658
ENSG00000066032	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000066044	2931	2239	3392	2420	2722	2346	4846	4781	4448	3521	2897	3250	6835	4560
ENSG00000066056	1599	567	2322	964	1565	582	715	236	1130	238	193	160	974	414
ENSG00000066084	2605	2190	3176	2544	2244	2078	3120	1654	1556	1582	1109	1609	2024	1657
ENSG00000066117	1959	1688	2291	1939	1441	1527	2856	1991	2020	1725	1728	2117	3285	2121
ENSG00000066135	793	876	1356	1046	1098	893	1228	754	672	464	589	820	1041	1051
ENSG00000066136	2851	2958	2956	2777	3189	2760	5264	4699	4035	3611	3417	4647	7076	5371
ENSG00000066185	83	67	30	41	74	83	46	97	26	58	51	86	85	36
ENSG00000066230	45	51	44	37	43	27	30	34	17	6	16	19	53	36
ENSG00000066248	0	0	0	4	0	0	0	2	4	4	0	0	7	2
ENSG00000066279	107	2	276	5	94	8	206	35	49	2	241	11	273	20
ENSG00000066294	1258	900	888	723	668	567	1002	570	309	200	352	389	770	639
ENSG00000066322	5964	5423	8250	6611	7267	6574	12522	12769	12142	13283	8719	10159	14898	12013
ENSG00000066336	139	12	187	14	209	71	34	10	30	10	188	30	68	62
ENSG00000066379	1601	1570	1709	1666	1751	1905	2139	2244	2062	3557	3042	2831	2463	2035
ENSG00000066382	83	71	54	62	25	57	46	113	0	40	41	33	290	225
ENSG00000066405	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000066422	6463	6898	5050	8619	5531	5322	8019	5007	3679	3264	4464	5054	7014	5010
ENSG00000066427	1961	1186	1504	1756	1814	1553	1758	1848	1653	2019	2016	1746	2630	1888
ENSG00000066455	1492	1439	1718	1767	2009	1556	3275	2249	1523	663	743	1629	3624	2350
ENSG00000066468	2	0	0	0	44	36	1	0	0	0	0	2	0	0
ENSG00000066557	1533	1412	1006	1661	1381	1145	1874	1580	1204	1205	1009	1074	1927	1476
ENSG00000066583	3445	2370	3316	2618	2574	2459	4319	5457	4523	2717	3334	3974	5392	3487
ENSG00000066629	0	0	19	0	1	6	0	1	1	2	4	0	4	2
ENSG00000066651	849	838	1099	1001	915	912	1307	835	534	398	430	672	921	711
ENSG00000066654	11242	12151	8704	11780	10031	10977	20186	15551	9949	8010	6520	10266	18541	14472
ENSG00000066697	2139	1648	1736	855	773	650	1952	1996	2146	1617	1088	1311	1320	1494
ENSG00000066735	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000066739	3163	2275	3667	3448	3097	3172	3315	1868	1757	2233	2216	2398	4225	2589
ENSG00000066777	3945	3844	3595	3827	2936	3012	6426	3575	2415	2449	3732	3287	4915	3503
ENSG00000066813	0	0	1	0	0	0	0	0	0	0	0	0	0	0
ENSG00000066827	354	344	380	481	162	407	848	453	358	419	309	324	736	430
ENSG00000066855	249	276	223	225	221	203	481	278	378	150	175	253	390	363
ENSG00000066923	693	497	670	610	663	544	425	430	301	228	333	283	752	496
ENSG00000066926	2520	2810	3072	3042	2430	2438	5046	3529	3562	1659	1497	2630	4989	3618
ENSG00000066933	3960	3510	3303	3554	3116	2948	7406	3456	3039	2020	2038	2516	5994	3208
ENSG00000067048	24357	33539	19680	29109	17825	21080	35339	19978	10726	7919	0	1	21643	15884
ENSG00000067057	3519	2438	3070	2640	4414	3741	9037	7369	4301	3088	2057	3913	6041	5303
ENSG00000067064	18853	28493	13601	23636	14865	18098	27174	27389	22211	16131	13683	24597	28836	22519
ENSG00000067066	21882	19007	18705	17653	20218	18937	30529	24551	19259	15352	18968	21142	36280	25298
ENSG00000067082	131714	119544	122978	108782	118306	131283	186398	194468	115750	115840	110152	138653	162198	136554
ENSG00000067113	206	255	195	210	197	277	260	358	191	167	333	394	314	220
ENSG00000067141	948	1692	481	939	265	497	1806	1123	266	206	355	937	673	550
ENSG00000067167	18384	18392	13243	18613	15959	19403	30646	24053	17861	11637	11535	17791	33869	22429
ENSG00000067177	22	9	0	0	0	0	2	0	32	0	0	2	17	4
ENSG00000067182	1014	1211	1610	1608	1563	1662	3110	2708	2117	2100	1930	1774	3998	3165
ENSG00000067191	1411	724	1681	852	1258	745	1015	745	901	558	760	939	1106	891
ENSG00000067208	131	67	31	54	48	82	139	173	222	298	204	304	291	156
ENSG00000067221	229	203	323	231	312	285	717	715	1025	790	386	361	1117	992
ENSG00000067225	10225	9188	12349	8582	10113	9370	24041	20833	14004	9559	13287	16900	22701	16024
ENSG00000067248	4493	3766	3388	3903	4042	4269	5556	5691	5615	7078	7938	6418	7436	5172
ENSG00000067334	14498	15989	12632	13263	11288	11791	29568	25597	18605	12736	11427	15878	25157	17620
ENSG00000067365	1370	893	1639	1098	1131	1277	1646	1687	1520	1794	2052	1801	2699	1918
ENSG00000067369	1958	1726	1695	1931	1462	1140	2150	1197	913	533	708	824	1534	1221
ENSG00000067445	449	264	491	206	340	366	691	485	344	72	177	299	315	300
ENSG00000067533	955	715	531	479	655	662	740	878	898	1049	1075	731	1107	1031
ENSG00000067560	33485	33298	30002	31954	36245	32363	51373	51400	52609	46809	43594	52839	76581	50836
ENSG00000067596	8476	8703	8343	7305	5390	5701	11536	6591	3724	3147	4396	5158	6866	5834
ENSG00000067601	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000067606	1015	1014	1322	1098	697	802	1014	1094	1293	935	623	1134	1174	1148
ENSG00000067646	1221	1410	1206	1672	1167	1194	1958	1536	991	947	0	0	1677	1472
ENSG00000067704	4569	3608	4288	4446	3940	3089	8497	5279	4381	2485	1889	3317	7449	3999
ENSG00000067715	1	0	4	0	0	0	0	0	0	0	0	0	0	0
ENSG00000067798	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000067829	5759	4281	5649	4180	5556	4589	9692	9498	9956	13388	9353	10044	14293	10413
ENSG00000067836	157	127	264	136	176	102	236	270	441	449	239	318	302	263
ENSG00000067840	1540	1613	1931	783	989	975	1025	973	1510	2130	1705	2079	2557	2172
ENSG00000067842	0	4	18	1	0	2	1	0	0	12	24	31	5	0
ENSG00000067900	11081	9480	9546	9778	8992	8315	15908	11143	7317	5801	8263	8696	14363	9835
ENSG00000067955	10096	10208	10025	13164	10590	9932	19357	13782	13541	7049	6962	10978	22990	15184
ENSG00000067992	6816	6832	6914	7412	6619	7183	12400	11417	10519	8768	6998	8281	16425	11282
ENSG00000068001	250	236	335	204	225	184	200	289	294	323	272	289	491	593
ENSG00000068024	2783	3043	2786	2295	2671	2552	2870	2246	1776	1636	2019	2421	3522	2817
ENSG00000068028	28607	29293	39220	27087	25641	25715	49105	48065	34429	36293	29386	35257	52200	43353
ENSG00000068078	0	3	6	8	0	8	4	9	2	10	0	0	26	2
ENSG00000068079	2977	2071	4044	2489	3051	2309	5153	4682	5347	5865	4475	4180	9049	6472
ENSG00000068097	2189	1782	1841	1595	1334	1509	3669	2074	1572	705	677	1281	2432	1805
ENSG00000068120	4678	3641	5850	3694	4735	3461	8832	6110	6760	8493	5993	6388	8762	7262
ENSG00000068137	14	18	1	13	17	5	0	3	0	2	15	6	43	14
ENSG00000068305	1996	1919	930	1287	1974	1325	2782	1853	1295	809	817	1512	2301	1782
ENSG00000068308	9455	10337	11619	9083	8080	7902	14824	13036	9517	9798	8032	11096	15699	13627
ENSG00000068323	1511	1121	1375	1014	1006	897	1589	1638	1087	1043	1117	1370	2090	1576
ENSG00000068354	3772	4279	5060	4278	3432	3591	6865	6025	4672	4683	3958	5491	6511	5506
ENSG00000068366	761	854	939	992	783	729	1593	882	559	524	847	1028	1538	988
ENSG00000068383	638	698	442	280	191	324	1205	1397	884	937	734	953	807	1142
ENSG00000068394	1448	1504	2146	1900	1423	1834	3168	3235	3004	2947	2182	3114	5397	4250
ENSG00000068400	5661	5189	6409	5625	5286	5442	9086	6658	5043	5276	4110	5508	10679	8117
ENSG00000068438	4000	3554	4476	3658	3876	3323	8244	7412	6675	5094	5078	6323	8931	7070
ENSG00000068489	59	42	152	42	221	38	172	125	209	124	183	105	370	230
ENSG00000068615	0	0	11	0	27	0	0	0	0	0	0	0	0	0
ENSG00000068650	708	1294	787	1187	984	1180	1939	1269	982	985	856	1129	1444	1347
ENSG00000068654	1075	1265	1410	1348	1168	1037	1907	1230	836	1324	1535	1234	1904	1450
ENSG00000068697	12728	12234	10723	12537	9968	9892	21130	25715	19540	19695	18100	21591	23216	16892
ENSG00000068724	4377	2793	5207	3096	3511	2398	3604	2770	3008	3413	3224	3820	3229	2801
ENSG00000068745	11835	10224	11285	8850	8169	8140	14167	16001	11379	11219	12042	15072	16403	13443
ENSG00000068781	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ENSG00000068784	1255	830	1187	828	953	731	2392	1445	1283	710	398	710	2602	1971
ENSG00000068796	6443	5570	5958	6339	7027	6017	9378	6537	5182	5479	5925	5883	11148	6590
ENSG00000068831	9109	7670	12344	8056	9102	7272	19487	16218	12962	13300	12165	14795	21419	16513
ENSG00000068878	6030	4447	5575	5094	6105	5290	5864	4360	3288	3661	5269	5236	6231	4514
ENSG00000068885	652	594	644	983	648	687	784	347	370	270	320	266	764	573
ENSG00000068903	7925	7255	10532	8277	6428	7111	16079	17240	13614	16179	13284	15085	21527	17461
ENSG00000068912	5333	5109	3457	4903	4171	4594	8681	7657	4033	3516	4355	5773	8451	5862
ENSG00000068971	1633	1871	2435	1634	1512	1601	2793	2868	2318	2290	1505	1978	3043	2460
ENSG00000068976	237	221	154	187	221	164	224	199	312	247	181	347	241	256
ENSG00000068985	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000069011	0	0	0	0	0	0	0	6	0	0	0	32	2	0
ENSG00000069018	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000069020	890	675	509	360	472	753	543	464	538	782	524	819	1666	949
ENSG00000069122	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000069188	34	1	65	28	0	14	0	0	0	0	8	0	10	0
ENSG00000069206	0	0	2	0	0	0	0	0	0	0	0	0	0	0
ENSG00000069248	4435	3661	3524	3662	2691	2656	4982	3248	1807	1812	1545	2272	3802	2538
ENSG00000069275	2869	1464	2937	1753	2565	2247	4149	3401	4451	5018	5056	4179	7523	4531
ENSG00000069329	3400	2486	3531	2572	3785	2349	5446	4065	3211	1584	1675	2397	6650	3926
ENSG00000069345	8170	8901	7021	7034	6900	6259	11903	9178	7015	3973	4096	7153	10199	7966
ENSG00000069399	6975	5866	7703	4326	4261	3419	5134	5842	6069	4958	5605	6874	4515	4001
ENSG00000069424	6105	5026	8450	5772	6804	5462	12763	9423	8169	7940	7546	7978	14336	10933
ENSG00000069431	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000069482	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000069493	6858	5224	6020	6986	8116	6273	15184	11553	3633	3746	6253	6944	12017	7563
ENSG00000069509	389	392	448	507	592	604	822	897	1251	828	1123	985	1422	936
ENSG00000069535	0	0	0	0	2	0	0	0	0	0	0	0	0	0
ENSG00000069667	10416	12970	7731	11417	9655	11704	25016	21400	10747	12692	11760	14935	23302	16999
ENSG00000069696	5	0	12	0	2	3	6	7	0	2	5	0	2	1
ENSG00000069702	28624	39026	38493	42100	28006	33170	87635	61535	32078	22726	21335	38543	80504	61959
ENSG00000069764	4	0	3	2	1	0	2	1	0	5	20	5	2	3
ENSG00000069812	11	1	12	1	1	2	1	0	1	1	5	2	2	5
ENSG00000069849	8218	9130	8909	11864	10842	12480	24126	27224	14234	17686	20878	24610	27336	19292
ENSG00000069869	299	206	214	404	184	155	544	302	254	104	28	75	577	212
ENSG00000069943	1114	1199	1047	1054	1596	1573	1586	1701	1093	1228	1522	1883	1899	1407
ENSG00000069956	2401	2102	1810	1731	1474	1234	2822	1625	1386	1240	1292	1574	1605	1539
ENSG00000069966	2147	1645	2706	2000	1749	1331	2371	1990	1791	1407	1282	1758	2306	1543
ENSG00000069974	5635	5123	4327	5233	6164	6597	12563	10131	8874	8828	7151	9251	15835	10713
ENSG00000069998	2485	2276	2562	1520	2078	1748	4008	4433	4082	3671	3173	3080	4239	3729
ENSG00000070010	5064	4531	5280	4415	4645	4832	8527	9467	9550	10867	10593	9727	11952	8048
ENSG00000070018	0	0	0	2	0	0	0	0	0	0	0	0	0	0
ENSG00000070019	0	0	0	0	0	0	0	0	0	0	0	3	0	16
ENSG00000070031	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000070047	2258	2544	3770	2911	2215	2289	3339	2429	2093	1460	1241	2061	2700	2357
ENSG00000070061	4733	3704	3615	3795	2659	2598	6085	2598	1524	1063	1212	1940	3540	2574
ENSG00000070081	5342	3280	5971	5259	5533	4123	8164	7304	14711	13289	9813	9687	15226	9285
ENSG00000070087	170	248	104	99	50	55	200	285	90	56	28	75	159	142
ENSG00000070159	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000070182	16	103	78	79	74	97	27	74	41	73	32	55	61	83
ENSG00000070190	1098	509	1337	1073	1197	503	575	405	651	255	456	437	315	265
ENSG00000070193	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000070214	4170	1669	4857	2180	4024	1910	3685	2531	3694	1014	1194	1668	3268	1764
ENSG00000070269	1094	812	1032	1023	789	759	1995	1314	997	1092	743	1144	1852	1834
ENSG00000070366	2572	2410	2842	2296	2122	2230	3759	2401	2222	2164	2781	2657	3670	3214
ENSG00000070367	2586	2165	2293	2848	2782	2652	4261	3125	2125	1752	1898	2507	3645	3112
ENSG00000070371	40	75	26	11	1	76	152	15	4	8	18	6	30	37
ENSG00000070388	7	21	1	8	1	26	6	7	7	29	21	11	16	14
ENSG00000070404	71	44	73	46	54	26	82	56	50	116	58	44	244	138
ENSG00000070413	2932	4253	4956	3930	2785	3748	6383	4941	3826	3945	2233	3932	6488	5356
ENSG00000070423	5143	4372	11674	6660	7125	6159	11388	12455	12781	17275	12163	14152	15421	13237
ENSG00000070444	453	324	511	334	328	291	425	406	443	766	863	681	659	593
ENSG00000070476	3989	3784	4725	3904	3333	3550	5545	4003	2699	2569	2454	3485	5660	4897
ENSG00000070495	9496	11268	9276	9309	6799	8047	11047	14154	11087	11585	11805	15407	14421	12812
ENSG00000070501	4169	4129	3359	3627	2964	3513	4141	4544	3569	4243	3878	4412	4827	3623
ENSG00000070526	0	0	0	0	0	0	0	0	0	0	0	2	0	0
ENSG00000070540	2108	1807	2586	2258	2498	2382	3388	3801	3550	3203	1713	2304	4094	2911
ENSG00000070601	0	0	1	1	1	0	18	0	0	0	1	0	0	40
ENSG00000070610	8292	7552	9405	6631	6582	6327	11509	8736	8294	5056	3948	6793	12728	10597
ENSG00000070614	0	61	147	39	98	34	59	56	83	199	4	125	84	106
ENSG00000070669	61	120	103	174	163	82	65	79	84	37	47	60	85	120
ENSG00000070718	1832	1546	1228	831	983	1019	1699	1354	782	796	921	842	1808	1209
ENSG00000070729	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000070731	1	0	4	10	17	3	6	0	21	0	0	0	2	1
ENSG00000070748	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000070756	50749	36554	46423	37423	41499	33819	43403	32365	36643	32157	35615	40450	54135	36080
ENSG00000070759	561	774	472	398	538	500	1063	638	702	407	197	610	1012	930
ENSG00000070761	7488	6610	6878	4955	3819	3874	6744	7659	5463	4947	4597	6332	6860	5037
ENSG00000070770	401	258	247	251	192	146	521	362	272	158	293	251	398	317
ENSG00000070778	0	0	7	0	0	0	16	36	0	4	0	0	5	2
ENSG00000070785	1478	1005	1202	972	1262	1155	2922	2928	2154	1937	1288	1501	3601	2394
ENSG00000070808	1	0	1	0	0	0	0	0	0	6	0	0	0	0
ENSG00000070814	6539	6627	8568	5928	6451	5583	8797	6016	5366	3224	3085	4543	7301	6897
ENSG00000070831	2234	1703	1775	2287	2843	2384	2751	2067	1585	2256	3228	2357	3280	2527
ENSG00000070882	3560	4055	4992	5214	3061	3694	7164	4343	3266	2411	2150	3011	6891	5244
ENSG00000070886	0	0	0	0	5	4	10	2	0	0	4	37	0	0
ENSG00000070915	0	0	0	0	18	2	0	0	0	2	0	1	0	0
ENSG00000070950	874	737	744	946	671	727	1925	1424	1287	996	835	1038	2028	1370
ENSG00000070961	14413	11419	12069	14283	12793	13392	13395	13533	15239	18680	15118	15865	22191	14620
ENSG00000070985	4	13	0	3	0	3	4	0	0	10	3	3	4	1
ENSG00000071051	2600	2382	3040	1852	2272	1957	2879	2638	3239	2339	1822	2923	5034	4332
ENSG00000071054	5577	5342	5981	3945	2447	1792	10741	6072	4876	3070	2682	4768	7590	6113
ENSG00000071073	13214	16143	8464	12108	10510	12401	21292	25399	22491	26997	16025	21066	25734	19954
ENSG00000071082	27116	14323	18989	13982	17346	16245	29478	34145	41085	59347	58477	43001	46837	32089
ENSG00000071127	18628	18428	24150	20374	15947	16233	55464	39899	29322	22022	20042	30549	60026	42216
ENSG00000071189	2354	2006	1603	2232	1875	1898	3167	1817	1219	843	1033	1261	2949	1983
ENSG00000071203	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000071205	790	649	499	663	824	1003	2276	1239	646	1547	1659	1364	2107	1475
ENSG00000071242	1232	157	830	327	1052	277	416	245	455	71	261	330	285	175
ENSG00000071243	5154	4160	3860	4298	3903	3867	10125	10111	6898	6813	7023	8053	11419	7976
ENSG00000071246	263	212	490	365	404	408	613	527	356	380	137	360	419	499
ENSG00000071282	0	0	0	0	0	0	22	0	0	0	0	0	8	4
ENSG00000071462	8065	6407	8082	5602	7182	5841	11083	12292	10747	13556	13699	13580	14221	10362
ENSG00000071537	3985	3760	3115	4726	3700	4218	8558	4260	2842	2638	4092	3339	7193	4402
ENSG00000071539	118	20	197	59	92	16	200	26	84	14	62	1	278	65
ENSG00000071553	10197	10155	12555	10658	10207	9768	23448	22598	17038	17480	12449	17223	23219	19136
ENSG00000071564	3174	2579	3173	801	904	876	4162	3305	2581	2120	1711	2237	2015	1975
ENSG00000071575	5379	4457	6982	4888	6310	4300	7229	4983	6760	4740	3800	5304	8452	6089
ENSG00000071626	2158	1605	2264	1273	1744	1340	3334	3594	3823	3025	3282	3586	6019	4515
ENSG00000071655	1665	1264	2564	1280	1570	1238	1452	1509	1434	1757	1441	1371	2204	1501
ENSG00000071677	0	0	0	0	0	0	0	0	0	0	0	0	0	5
ENSG00000071794	1175	810	819	909	863	741	1811	1231	1147	1283	1204	862	1577	1209
ENSG00000071859	4428	3384	4675	3232	4068	3477	6732	5603	6317	6849	6590	6889	8182	6476
ENSG00000071889	1751	1506	2558	1471	1646	1583	3141	3106	2523	2941	2071	2454	3453	2924
ENSG00000071894	4482	2942	10050	7895	6555	5296	9360	5267	6907	4331	3278	5020	8809	8669
ENSG00000071909	36	98	1	0	75	137	344	265	0	1	74	143	160	136
ENSG00000071967	786	1747	1156	1885	739	1089	1412	1179	503	680	327	655	901	905
ENSG00000071991	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000071994	5320	4753	4436	4039	4820	4509	9663	8110	8018	6475	6001	6895	13493	9205
ENSG00000072041	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000072042	3796	3408	4071	3694	4011	3904	6940	6059	4067	2298	2667	3149	6594	4104
ENSG00000072062	940	599	794	275	296	290	694	796	655	731	749	632	806	676
ENSG00000072071	788	419	808	338	542	391	507	351	486	620	605	593	647	573
ENSG00000072080	3	0	0	0	0	0	0	0	0	0	0	0	4	0
